Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2023-01-05 22:07:10,45.236.125.149,62.10.252.95,19116,3303,UDP,759,Control,HTTP,Incidunt minus laboriosam aliquid consequuntur consequuntur totam. Facere pariatur fugiat repudiandae. Omnis ullam magnam temporibus eligendi numquam.,IoC Detected,48.78,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Bhamini Hegde,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/5.1),Segment C,"Anantapur, Manipur",66.73.144.64,Log Data,Alert Data,Firewall
2020-07-23 11:31:07,4.46.179.19,126.111.201.161,30311,36138,TCP,752,Control,HTTP,Amet modi itaque officia. Sequi aperiam sapiente. Temporibus expedita aut sequi illum. Perferendis recusandae illo voluptatem illum.,IoC Detected,87.75,Alert Triggered,Malware,Known Pattern A,Blocked,Low,Aarna Dass,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/534.29.2 (KHTML, like Gecko) Version/4.0.4 Safari/534.29.2",Segment B,"Guwahati, Gujarat",206.218.206.148,Log Data,Alert Data,Firewall
2020-08-19 08:16:28,40.16.137.118,132.46.9.54,43357,26045,ICMP,135,Control,FTP,"In quisquam quam nihil laboriosam harum velit. Dolores consequuntur deleniti aliquid eveniet reprehenderit dolor.
Corrupti perferendis nemo. Consectetur ut explicabo exercitationem dolorem animi.",IoC Detected,3.17,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Anaya Dutt,Opera/8.50.(X11; Linux i686; am-ET) Presto/2.9.179 Version/10.00,Segment B,"Raichur, Assam",152.116.187.24,Log Data,Alert Data,Server
2022-10-07 21:54:43,102.34.127.39,67.255.78.91,7062,1041,ICMP,1253,Data,DNS,Deserunt libero modi occaecati provident dignissimos excepturi est. Temporibus neque fuga.,IoC Detected,11.43,Alert Triggered,DDoS,Known Pattern B,Ignored,Medium,Navya Sundaram,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ja-JP) AppleWebKit/534.37.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6534.37.5",Segment A,"Sasaram, Nagaland",125.219.122.111,Log Data,Alert Data,Server
2022-02-23 04:27:32,200.5.137.192,108.86.137.250,5704,24374,TCP,416,Data,DNS,"Autem tenetur voluptatibus et quibusdam. Iste eum harum eligendi.
Dolor eveniet incidunt asperiores pariatur. Eaque nostrum cum recusandae. Iusto eius dolor accusamus inventore sunt.",IoC Detected,16.4,Alert Triggered,Intrusion,Known Pattern B,Blocked,Medium,Ivana Tiwari,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/532.40.2 (KHTML, like Gecko) Version/5.0.2 Safari/532.40.2",Segment B,"Chennai, Tripura",4.6.170.207,Log Data,Alert Data,Firewall
2022-05-05 18:42:24,21.82.100.59,73.147.172.161,59242,52745,ICMP,1032,Control,FTP,Minus ea unde mollitia consectetur a. Ut assumenda cum dolores animi vel maxime. Incidunt nemo sapiente nisi sit maxime voluptates ipsam.,IoC Detected,66.88,Alert Triggered,DDoS,Known Pattern A,Blocked,High,Nakul Virk,Mozilla/5.0 (Android 6.0; Mobile; rv:31.0) Gecko/31.0 Firefox/31.0,Segment A,"Yamunanagar, Assam",69.101.155.210,Log Data,Alert Data,Server
2022-03-29 10:24:37,90.243.82.180,148.30.222.215,47899,39554,TCP,1249,Control,HTTP,Molestiae voluptatibus vero fugiat libero. Placeat incidunt in perspiciatis quibusdam vitae. Odio exercitationem doloremque nisi nostrum optio iste.,IoC Detected,95.5,Alert Triggered,Malware,Known Pattern B,Blocked,High,Inaaya  Varughese,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; is-IS) AppleWebKit/532.20.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6532.20.1",Segment C,"Adoni, Kerala",25.181.120.90,Log Data,Alert Data,Firewall
2021-08-30 19:23:13,132.44.161.49,137.95.0.4,31225,14721,UDP,1095,Data,HTTP,Excepturi omnis dignissimos impedit. Nulla molestiae tempore aut odit optio.,IoC Detected,93.12,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Aaina Behl,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2563-12-05 18:19:08 Firefox/3.6.18,Segment B,"Malegaon, Himachal Pradesh",84.137.169.142,Log Data,Alert Data,Firewall
2021-10-30 06:47:23,173.220.243.25,177.16.19.202,43309,56466,ICMP,64,Control,HTTP,"Debitis nobis magni veniam. Et laboriosam repudiandae illo. Reprehenderit id dolorum aperiam minima.
Architecto veritatis totam laboriosam soluta rem enim tenetur. Aspernatur illo dolorum ex sint.",IoC Detected,6.66,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Neelofar Walla,Opera/9.72.(X11; Linux i686; dz-BT) Presto/2.9.176 Version/11.00,Segment C,"Nellore, Assam",124.144.125.50,Log Data,Alert Data,Firewall
2020-11-18 11:01:42,123.16.131.105,19.189.143.225,34044,10584,ICMP,232,Data,FTP,"Libero quibusdam possimus iusto facilis. Ipsam unde optio aperiam accusantium repudiandae quidem.
A id sint quos magni aliquam est. Numquam temporibus ut. Dolorem reprehenderit molestias veritatis.",IoC Detected,41.14,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,Dhruv Kar,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/4.1),Segment B,"Dindigul, Rajasthan",2.233.217.176,Log Data,Alert Data,Server
2020-06-13 19:01:43,8.2.86.197,43.181.226.233,42481,37679,TCP,1199,Data,FTP,Quaerat nisi recusandae unde. Incidunt quas placeat est ex libero animi. Quam expedita aliquid.,IoC Detected,6.31,Alert Triggered,DDoS,Known Pattern B,Logged,High,Samarth Gulati,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/3.0),Segment A,"Kottayam, Meghalaya",94.179.104.34,Log Data,Alert Data,Server
2022-09-12 17:10:43,221.126.235.165,25.123.69.206,12254,10840,TCP,401,Control,DNS,Esse explicabo assumenda est saepe. Dolorem rem cum consequatur distinctio illo. Accusamus ipsum quo vitae.,IoC Detected,32.53,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Pihu Chaudhari,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ks-IN) AppleWebKit/533.8.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6533.8.4",Segment A,"Mysore, Arunachal Pradesh",208.103.181.180,Log Data,Alert Data,Firewall
2021-08-02 03:19:02,146.115.54.39,133.87.65.73,3857,23527,UDP,1386,Control,DNS,"Nesciunt neque odio ducimus. Delectus autem fugit adipisci. Optio sequi soluta aut.
Error vero esse culpa sequi. Minus fugit iste omnis molestiae.",IoC Detected,79.36,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Raghav Bakshi,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/3.0),Segment A,"Vijayawada, Uttarakhand",219.151.52.52,Log Data,Alert Data,Server
2020-10-21 17:29:37,34.134.47.208,160.126.49.239,43029,22402,ICMP,521,Control,FTP,Quis eveniet labore qui adipisci optio eius reiciendis. Dolor dicta cupiditate similique aliquam ad. Repellendus necessitatibus occaecati facilis incidunt fugiat.,IoC Detected,1.01,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Prisha Anand,Opera/9.87.(Windows NT 6.2; bs-BA) Presto/2.9.168 Version/12.00,Segment C,"Khora , Tamil Nadu",40.133.18.7,Log Data,Alert Data,Firewall
2023-06-06 06:13:27,152.50.243.18,218.138.150.181,7999,60296,TCP,1423,Data,DNS,Vel totam amet dolore laudantium dolores. Ea asperiores doloribus quam commodi quasi occaecati consectetur.,IoC Detected,6.3,Alert Triggered,DDoS,Known Pattern B,Blocked,High,Jivin Chahal,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/16.7m4996.0 Mobile/49Z313 Safari/535.1",Segment C,"Tumkur, Arunachal Pradesh",161.64.129.52,Log Data,Alert Data,Server
2023-02-16 19:55:40,161.33.136.148,175.52.151.40,50709,12081,ICMP,941,Data,HTTP,"In ducimus impedit possimus. Dolores accusamus modi pariatur fugiat est. Eaque eligendi quos fuga et odio quos perferendis.
Rerum quod et voluptas dolor. Accusamus porro atque.",IoC Detected,33.71,Alert Triggered,Malware,Known Pattern B,Blocked,Low,Lagan Mani,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/5.0),Segment C,"Ramgarh, Gujarat",190.101.148.194,Log Data,Alert Data,Firewall
2021-07-20 03:35:55,122.176.81.252,23.155.181.178,6311,39498,TCP,733,Data,HTTP,"Doloribus atque dolorum fugiat quasi sunt in. Nobis doloribus delectus optio unde assumenda.
Assumenda tempora recusandae mollitia. Molestiae pariatur porro quibusdam.",IoC Detected,11.13,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Nirvaan Suresh,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/9.2o4371.0 Mobile/32A221 Safari/536.1",Segment A,"Ozhukarai, Meghalaya",79.67.221.234,Log Data,Alert Data,Firewall
2023-04-07 23:29:56,51.90.203.127,111.148.35.173,48680,39087,TCP,1022,Data,DNS,Minus perferendis alias laudantium animi. Consequuntur repellat aut adipisci. Sunt voluptatibus perferendis.,IoC Detected,80.19,Alert Triggered,Malware,Known Pattern B,Logged,High,Anay Bora,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_5 rv:5.0; ckb-IQ) AppleWebKit/534.39.5 (KHTML, like Gecko) Version/5.1 Safari/534.39.5",Segment B,"Dehradun, Maharashtra",3.41.17.212,Log Data,Alert Data,Firewall
2022-10-25 05:05:51,68.242.31.97,89.202.157.130,1201,43685,TCP,94,Data,DNS,Reprehenderit ut eum a tenetur. A tempora nobis ut voluptatem incidunt deserunt nobis. Eos laudantium aperiam sint tempore odio pariatur.,IoC Detected,3.43,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Hazel Thakkar,Opera/8.53.(Windows NT 5.2; apn-IN) Presto/2.9.179 Version/10.00,Segment B,"Nadiad, Madhya Pradesh",60.247.94.75,Log Data,Alert Data,Server
2022-02-27 10:09:46,155.231.0.229,220.100.237.47,33160,51014,UDP,490,Data,HTTP,Sapiente officia enim explicabo cumque harum. Quas dignissimos temporibus.,IoC Detected,45.75,Alert Triggered,Intrusion,Known Pattern A,Logged,Medium,Jayesh Dutta,Opera/8.70.(Windows NT 10.0; kl-GL) Presto/2.9.182 Version/11.00,Segment C,"Nellore, Uttarakhand",18.144.151.49,Log Data,Alert Data,Firewall
2022-08-22 01:17:58,82.25.62.88,54.51.6.225,47938,19232,ICMP,1491,Control,HTTP,Eligendi ducimus saepe hic autem qui temporibus. Quia totam voluptates aperiam consectetur magnam nemo. Unde accusantium ipsum laboriosam qui.,IoC Detected,82.83,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Ojas Vyas,Opera/9.52.(Windows NT 6.1; ia-FR) Presto/2.9.163 Version/10.00,Segment C,"Solapur, Jharkhand",25.93.156.63,Log Data,Alert Data,Server
2020-10-13 09:56:08,24.241.63.13,100.2.234.212,36762,36247,TCP,1312,Control,DNS,Quisquam sunt sed facilis quaerat quasi. Aliquam natus optio eaque reiciendis. Pariatur sequi labore molestias similique animi dolor. Incidunt quibusdam delectus culpa.,IoC Detected,12.95,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Myra Dada,"Mozilla/5.0 (Windows CE) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/50.0.879.0 Safari/532.1",Segment B,"Shimoga, Meghalaya",157.3.42.99,Log Data,Alert Data,Server
2022-04-07 08:47:33,109.164.233.191,103.113.23.174,7808,47173,UDP,958,Control,FTP,"Commodi dolor sit iure quibusdam. Magni vel eaque minus maxime aut libero ullam.
Aliquid doloremque alias quis dignissimos. Beatae minima quia fugit.",IoC Detected,69.46,Alert Triggered,Malware,Known Pattern A,Blocked,Low,Advik Chaudhry,Opera/8.86.(Windows NT 4.0; mg-MG) Presto/2.9.164 Version/12.00,Segment B,"Muzaffarpur, Kerala",202.44.126.12,Log Data,Alert Data,Server
2020-10-23 19:50:07,38.153.220.93,131.65.85.203,55977,11261,UDP,1398,Data,HTTP,Consequatur a officia perferendis. Culpa quia et perspiciatis a sapiente quasi cupiditate.,IoC Detected,88.38,Alert Triggered,DDoS,Known Pattern B,Ignored,Medium,Lavanya Dey,Mozilla/5.0 (Android 3.2.6; Mobile; rv:41.0) Gecko/41.0 Firefox/41.0,Segment A,"Kurnool, Kerala",67.30.153.133,Log Data,Alert Data,Server
2021-07-03 21:25:34,45.223.155.166,154.68.190.253,9884,17473,UDP,772,Control,DNS,Perspiciatis dolore voluptates deserunt. Odio sapiente ipsa in quasi. Eaque voluptates nemo nesciunt.,IoC Detected,85.39,Alert Triggered,Malware,Known Pattern A,Blocked,High,Lakshay Salvi,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/5.1),Segment B,"Ahmedabad, Telangana",213.12.91.128,Log Data,Alert Data,Server
2023-05-27 07:59:24,5.15.19.214,37.136.213.217,30725,34066,UDP,762,Control,HTTP,Illum asperiores dicta dolorum. Accusamus voluptatibus ipsum quae assumenda maiores qui. Illum velit natus architecto.,IoC Detected,37.5,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Aarush Joshi,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_3 rv:3.0; bem-ZM) AppleWebKit/531.24.5 (KHTML, like Gecko) Version/5.0.5 Safari/531.24.5",Segment B,"Barasat, Tripura",177.246.133.137,Log Data,Alert Data,Server
2022-06-26 04:31:09,86.54.12.239,180.251.27.80,10076,12830,UDP,262,Data,HTTP,"Sunt soluta velit tempore officia. Sequi error aliquid excepturi.
Delectus cum inventore autem. Dolore harum aspernatur.",IoC Detected,62.84,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Emir Rout,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/6394-06-19 02:41:57 Firefox/3.6.11,Segment A,"Ratlam, Arunachal Pradesh",94.141.95.209,Log Data,Alert Data,Firewall
2021-06-16 14:49:17,178.49.207.153,133.236.210.74,45595,42546,TCP,739,Data,DNS,Voluptate et blanditiis culpa et. Inventore alias temporibus perspiciatis voluptates a praesentium eaque.,IoC Detected,84.95,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Vardaniya Joshi,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; gd-GB) AppleWebKit/533.14.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6533.14.7",Segment C,"Belgaum, Goa",118.188.194.58,Log Data,Alert Data,Server
2022-12-20 14:31:54,164.96.136.112,216.100.29.62,52342,23280,UDP,1091,Data,HTTP,"Explicabo hic voluptatibus quod. Asperiores molestiae voluptatem ad officia.
Est odit explicabo. Iusto ullam quidem at magnam excepturi maiores mollitia. Quae odio fugit consequatur ad.",IoC Detected,30.62,Alert Triggered,Intrusion,Known Pattern A,Ignored,Medium,Onkar Brahmbhatt,Mozilla/5.0 (Android 2.3.7; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,Segment C,"Thiruvananthapuram, Karnataka",186.190.2.53,Log Data,Alert Data,Server
2023-02-14 12:22:16,173.114.203.167,156.141.155.223,1809,8022,UDP,1065,Data,FTP,"Itaque illo ullam consectetur provident animi.
Labore doloribus iusto ullam architecto occaecati accusantium. Soluta magnam pariatur.",IoC Detected,31.82,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Nitya Sood,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/15.7d3400.0 Mobile/73R313 Safari/531.0",Segment C,"Latur, Karnataka",77.18.36.4,Log Data,Alert Data,Server
2023-01-15 09:04:21,204.202.115.185,123.63.112.62,1634,49231,ICMP,64,Data,DNS,"Quo nemo quia sequi ipsam aliquid illum occaecati. Voluptate assumenda optio odio. Enim molestiae repudiandae temporibus.
Est sint ipsam accusantium vel.",IoC Detected,2.33,Alert Triggered,Malware,Known Pattern A,Logged,Low,Mishti Sethi,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/4.1),Segment C,"Aizawl, Rajasthan",7.220.87.48,Log Data,Alert Data,Firewall
2021-06-07 20:41:32,80.251.169.21,96.45.54.67,36490,37887,UDP,945,Control,DNS,Iusto pariatur ratione quis quaerat magni quisquam facere. Amet sit culpa aliquid sapiente. Fuga et minima nostrum.,IoC Detected,3.87,Alert Triggered,Intrusion,Known Pattern B,Ignored,Medium,Gatik Kadakia,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/535.11.5 (KHTML, like Gecko) Version/4.0.5 Safari/535.11.5",Segment B,"Tiruppur, West Bengal",102.17.180.214,Log Data,Alert Data,Firewall
2021-04-19 06:34:09,126.155.144.194,115.62.137.153,12924,23741,UDP,288,Data,DNS,Necessitatibus aliquid id provident nihil ipsam ducimus. Aperiam quisquam praesentium dicta. Aliquid molestias tempore ducimus.,IoC Detected,26.14,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Lakshay Ramakrishnan,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/52.0.862.0 Mobile/09E081 Safari/532.1",Segment A,"Rajpur Sonarpur, Haryana",9.251.101.1,Log Data,Alert Data,Server
2020-09-11 10:50:00,52.84.206.105,46.165.234.5,55447,2593,UDP,1012,Control,HTTP,"Maxime quo hic hic.
Sint nesciunt maxime. Aliquid nulla molestiae optio possimus at tempore. Dolorum est consequatur minus neque.",IoC Detected,39.1,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Vivaan Gour,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.0),Segment C,"Berhampur, Tamil Nadu",57.90.168.222,Log Data,Alert Data,Firewall
